Country,Capital City,Latitude,Longitude,Population,Capital Type
Luxembourg,Luxembourg,49.6117,6.1300,119752,Capital
Madagascar,Antananarivo,-18.9137,47.5361,3058387,Capital
Malawi,Lilongwe,-13.9669,33.7873,1029639,Capital
Malaysia,Kuala Lumpur,3.1412,101.6865,7563912,Capital
Maldives,Male,4.1748,73.5089,176851,Capital
Mali,Bamako,12.6500,-8.0000,2446749,Capital
Malta,Valletta,35.8997,14.5147,212768,Capital
Marshall Islands,Majuro,7.0897,171.3803,30661,Capital
Martinique,Fort-de-France,14.6089,-61.0733,79361,Capital
Mauritania,Nouakchott,18.0858,-15.9785,1205414,Capital
Mauritius,Port Louis,-20.1619,57.4989,149365,Capital
Mayotte,Mamoudzou,-12.7794,45.2272,6180,Capital
Mexico,Ciudad de México (Mexico City),19.4273,-99.1419,21580827,Capital
Micronesia (Fed. States of),Palikir,6.9174,158.1588,6996,Capital
Monaco,Monaco,43.7333,7.4167,38897,Capital
Mongolia,Ulaanbaatar,47.9077,106.8832,1520381,Capital
Montenegro,Podgorica,42.4411,19.2636,177177,Capital
Montserrat,Brades Estate,16.7918,-62.2106,472,Capital
Morocco,Rabat,34.0133,-6.8326,1846661,Capital
Mozambique,Maputo,-25.9653,32.5892,1101771,Capital
Myanmar,Nay Pyi Taw,19.7450,96.1297,500218,Capital
Namibia,Windhoek,-22.5594,17.0832,404280,Capital
Nauru,Nauru,-0.5308,166.9112,11312,Capital
Nepal,Kathmandu,27.7017,85.3206,1329732,Capital
Netherlands,Amsterdam,52.3740,4.8897,1131690,Capital
New Caledonia,Nouméa,-22.2763,166.4572,197787,Capital
New Zealand,Wellington,-41.2866,174.7756,411346,Capital
Nicaragua,Managua,12.1328,-86.2504,1047923,Capital
Niger,Niamey,13.5137,2.1098,1213781,Capital
Nigeria,Abuja,9.0574,7.4898,2918518,Capital
Niue,Alofi,-19.0585,-169.9213,727,Capital
Northern Mariana Islands,Saipan,15.2123,145.7545,50568,Capital
Norway,Oslo,59.9127,10.7461,1012225,Capital
Oman,Masqat (Muscat),23.6139,58.5922,1446563,Capital
Pakistan,Islamabad,33.7035,73.0594,1061412,Capital
Palau,Koror,7.3426,134.4789,11410,Capital
Panama,Ciudad de Panamá (Panama City),8.9958,-79.5196,1783490,Capital
Papua New Guinea,Port Moresby,-9.4431,147.1797,366862,Capital
Paraguay,Asunción,-25.3007,-57.6359,3222199,Capital
Peru,Lima,-12.0432,-77.0282,10390607,Capital
Philippines,Manila,14.6042,120.9822,13482468,Capital
Poland,Warszawa (Warsaw),52.2298,21.0118,1767798,Capital
Portugal,Lisboa (Lisbon),38.7169,-9.1399,2927316,Capital
Puerto Rico,San Juan,18.4663,-66.1057,2454337,Capital
Qatar,Ad-Dawhah (Doha),25.2747,51.5245,633401,Capital
Republic of Korea,Seoul,37.5683,126.9778,9963497,Capital
Republic of Moldova,Chişinău,47.0056,28.8575,509707,Capital
Réunion,Saint-Denis,-20.8823,55.4504,147209,Capital
Romania,Bucuresti (Bucharest),44.4328,26.1043,1821380,Capital
Russian Federation,Moskva (Moscow),55.7550,37.6218,12409738,Capital
Rwanda,Kigali,-1.9474,30.0579,1057836,Capital
Saint Helena,Jamestown,-15.9387,-5.7168,603,Capital
Saint Kitts and Nevis,Basseterre,17.2948,-62.7261,14434,Capital
Saint Lucia,Castries,14.0060,-60.9910,22258,Capital
Saint Pierre and Miquelon,Saint-Pierre,46.7738,-56.1815,5723,Capital
Saint Vincent and the Grenadines,Kingstown,13.1587,-61.2248,26636,Capital
Samoa,Apia,-13.8333,-171.7667,36066,Capital
San Marino,San Marino,43.9333,12.4500,4465,Capital
Sao Tome and Principe,São Tomé,0.3365,6.7273,80099,Capital
Saudi Arabia,Ar-Riyadh (Riyadh),24.6905,46.7096,6906595,Capital
Senegal,Dakar,14.6937,-17.4441,2978419,Capital
Serbia,Beograd (Belgrade),44.8176,20.4633,1389351,Capital
Seychelles,Victoria,-4.6167,55.4500,28091,Capital
Sierra Leone,Freetown,8.4840,-13.2299,1135949,Capital
Singapore,Singapore,1.2897,103.8501,5791901,Capital
Sint Maarten (Dutch part),Philipsburg,18.0260,-63.0458,40552,Capital
Slovakia,Bratislava,48.1482,17.1067,429920,Capital
Slovenia,Ljubljana,46.0511,14.5051,286491,Capital
Solomon Islands,Honiara,-9.4333,159.9500,81801,Capital
Somalia,Muqdisho (Mogadishu),2.0416,45.3435,2081624,Capital
South Africa,Cape Town,-33.9258,18.4232,4430367,Legislative Capital
South Sudan,Juba,4.8517,31.5825,368914,Capital
Spain,Madrid,40.4165,-3.7026,6497124,Capital
Sri Lanka,Colombo,6.9319,79.8478,599821,Capital
State of Palestine,Al-Quds[East Jerusalem],31.7834,35.2339,275086,Capital
Sudan,Al-Khartum (Khartoum),15.5518,32.5324,5534079,Capital
Suriname,Paramaribo,5.8664,-55.1668,239457,Capital
Swaziland,Mbabane,-26.3167,31.1333,68010,Capital
Sweden,Stockholm,59.3326,18.0649,1582968,Capital
Switzerland,Bern,46.9481,7.4474,422153,Capital
Syrian Arab Republic,Dimashq (Damascus),33.5086,36.3084,2319545,Capital
Tajikistan,Dushanbe,38.5358,68.7791,872653,Capital
TFYR Macedonia,Skopje,42.0000,21.4333,584208,Capital
Thailand,Krung Thep (Bangkok),13.7220,100.5252,10156316,Capital
Timor-Leste,Dili,-8.5601,125.5668,281135,Capital
