,Country,Year,Index,Rank,Crime Rate,Hip hop/Rap/R&b,EDM,Pop,Rock/Metal,Latin/Reggaeton,Other,Average_Day_Length
0,ARGENTINA,2013,6.562,29.0,7.247288159,59,0,29,0,32,8,12:09:26
2,ARGENTINA,2014,,,7.537819838,59,0,29,0,32,8,12:09:27
4,ARGENTINA,2015,6.574,30.0,6.558466154,59,0,29,0,32,8,12:09:27
6,ARGENTINA,2016,6.65,26.0,6.011233587,59,0,29,0,32,8,12:09:38
8,ARGENTINA,2017,6.599,24.0,5.259380765,59,0,29,0,32,8,12:09:27
10,ARGENTINA,2018,6.388,29.0,5.367725685,59,0,29,0,32,8,12:09:27
12,ARGENTINA,2019,6.086,47.0,5.155823421,59,0,29,0,32,8,12:09:27
14,ARGENTINA,2020,5.975,55.0,5.366813844,59,0,29,0,32,8,12:09:38
16,ARGENTINA,2021,5.929,57.0,4.622678556,59,0,29,0,32,8,12:09:27
18,ARGENTINA,2022,5.967,57.0,,59,0,29,0,32,8,12:09:27
20,AUSTRALIA,2013,7.35,10.0,1.060065404,31,15,65,17,0,8,12:09:30
21,AUSTRALIA,2014,,,1.035382845,31,15,65,17,0,8,12:09:31
22,AUSTRALIA,2015,7.284,10.0,0.990754227,31,15,65,17,0,8,12:09:31
23,AUSTRALIA,2016,7.313,9.0,0.938183173,31,15,65,17,0,8,12:09:42
24,AUSTRALIA,2017,7.284,9.0,0.845860834,31,15,65,17,0,8,12:09:30
25,AUSTRALIA,2018,7.272,10.0,0.884735038,31,15,65,17,0,8,12:09:31
26,AUSTRALIA,2019,7.228,11.0,0.887322994,31,15,65,17,0,8,12:09:31
27,AUSTRALIA,2020,7.223,12.0,0.860925459,31,15,65,17,0,8,12:09:42
28,AUSTRALIA,2021,7.183,11.0,0.744567483,31,15,65,17,0,8,12:09:31
29,AUSTRALIA,2022,7.162,12.0,,31,15,65,17,0,8,12:09:31
30,AUSTRIA,2013,7.369,8.0,0.71937873,28,17,28,6,2,12,12:17:56
31,AUSTRIA,2014,,,0.491454225,28,17,28,6,2,12,12:17:56
32,AUSTRIA,2015,7.2,13.0,0.509116601,28,17,28,6,2,12,12:17:56
33,AUSTRIA,2016,7.119,12.0,0.618097447,28,17,28,6,2,12,12:17:37
34,AUSTRIA,2017,7.006,13.0,0.795680953,28,17,28,6,2,12,12:17:56
35,AUSTRIA,2018,7.139,12.0,0.972794281,28,17,28,6,2,12,12:17:56
36,AUSTRIA,2019,7.246,10.0,0.867123025,28,17,28,6,2,12,12:17:56
37,AUSTRIA,2020,7.294,9.0,0.729699453,28,17,28,6,2,12,12:17:37
