Year,Country,Average_Day_Length
2023,Afghanistan,12:13:20
2023,Albania,12:15:12
2023,Algeria,12:13:53
2023,American_Samoa,12:08:47
2023,Andorra,12:15:36
2023,Angola,12:08:52
2023,Anguilla,12:10:38
2023,Antigua_and_Barbuda,12:10:30
2023,Argentina,12:09:27
2023,Armenia,12:14:51
2023,Aruba,12:10:02
2023,Australia,12:09:31
2023,Austria,12:17:56
2023,Azerbaijan,12:14:54
2023,Bahamas,12:11:33
2023,Bahrain,12:11:43
2023,Bangladesh,12:11:20
2023,Barbados,12:10:06
2023,Belarus,12:21:21
2023,Belgium,12:19:20
2023,Belize,12:10:31
2023,Benin,12:09:33
2023,Bermuda,12:12:51
2023,Bhutan,12:11:56
2023,Bolivia_(Plurinational_State_of),12:08:47
2023,Bosnia_and_Herzegovina,12:16:05
2023,Botswana,12:08:54
2023,Brazil,12:08:47
2023,British_Virgin_Islands,12:10:39
2023,Brunei_Darussalam,12:09:27
2023,Bulgaria,12:15:40
2023,Burkina_Faso,12:10:02
2023,Burundi,12:09:01
2023,Cabo_Verde,12:10:16
2023,Cambodia,12:09:57
2023,Cameroon,12:09:23
2023,Canada,12:16:41
2023,Caribbean_Netherlands,12:10:00
2023,Cayman_Islands,12:10:45
2023,Central_African_Republic,12:09:25
2023,Chad,12:10:00
2023,Channel_Islands,12:18:30
2023,Chile,12:09:21
2023,China,12:14:45
2023,"China,_Hong_Kong_SAR",12:11:08
2023,"China,_Macao_SAR",12:11:08
2023,"China,_Taiwan_Province_of_China",12:11:32
2023,Colombia,12:09:26
2023,Comoros,12:08:48
2023,Congo,12:09:00
2023,Cook_Islands,12:08:49
2023,Costa_Rica,12:09:49
2023,Croatia,12:16:51
2023,Cuba,12:11:15
2023,Curaçao,12:10:00
2023,Cyprus,12:13:29
2023,Czechia,12:18:54
2023,Côte_d'Ivoire,12:09:28
2023,Dem._People's_Republic_of_Korea,12:14:30
2023,Democratic_Republic_of_the_Congo,12:08:59
2023,Denmark,12:22:47
2023,Djibouti,12:09:57
2023,Dominica,12:10:19
2023,Dominican_Republic,12:10:39
2023,Ecuador,12:09:10
2023,Egypt,12:12:24
2023,El_Salvador,12:10:09
2023,Equatorial_Guinea,12:09:23
2023,Eritrea,12:10:19
2023,Estonia,12:26:51
2023,Ethiopia,12:09:44
2023,Faeroe_Islands,12:31:10
2023,Falkland_Islands_(Malvinas),12:12:24
2023,Fiji,12:08:47
2023,Finland,12:27:55
2023,France,12:18:15
2023,French_Guiana,12:09:27
2023,French_Polynesia,12:08:47
2023,Gabon,12:09:12
2023,Gambia,12:10:07
2023,Georgia,12:15:19
2023,Germany,12:20:22
2023,Ghana,12:09:30
2023,Gibraltar,12:13:44
2023,Greece,12:14:12
2023,Greenland,12:37:17
2023,Grenada,12:10:00
2023,Guadeloupe,12:10:23
2023,Guam,12:10:08
2023,Guatemala,12:10:15
2023,Guinea,12:09:47
2023,Guinea-Bissau,12:09:59
2023,Guyana,12:09:35
2023,Haiti,12:10:40
2023,Holy_See,12:15:24
2023,Honduras,12:10:11
2023,Hungary,12:17:35
2023,Iceland,12:37:06
2023,India,12:12:08
2023,Indonesia,12:08:56
2023,Iran_(Islamic_Republic_of),12:13:37
2023,Iraq,12:13:04
2023,Ireland,12:20:56
2023,Isle_of_Man,12:21:32
2023,Israel,12:12:44
2023,Italy,12:15:23
2023,Jamaica,12:10:36
2023,Japan,12:13:37
2023,Jordan,12:12:46
2023,Kazakhstan,12:19:32
2023,Kenya,12:09:07
2023,Kiribati,12:09:14
2023,Kuwait,12:12:16
2023,Kyrgyzstan,12:15:43
2023,Lao_People's_Democratic_Republic,12:10:36
2023,Latvia,12:23:58
2023,Lebanon,12:13:12
2023,Lesotho,12:09:06
2023,Liberia,12:09:33
2023,Libya,12:12:58
2023,Liechtenstein,12:17:26
2023,Lithuania,12:21:57
2023,Luxembourg,12:18:39
2023,Madagascar,12:08:48
2023,Malawi,12:08:47
2023,Malaysia,12:09:20
2023,Maldives,12:09:24
2023,Mali,12:10:03
2023,Malta,12:13:40
2023,Marshall_Islands,12:09:36
2023,Martinique,12:10:14
2023,Mauritania,12:10:37
2023,Mauritius,12:08:49
2023,Mayotte,12:08:48
2023,Mexico,12:10:46
2023,Micronesia_(Fed._States_of),12:09:35
2023,Monaco,12:16:02
2023,Mongolia,12:17:47
2023,Montenegro,12:15:34
2023,Montserrat,12:10:28
2023,Morocco,12:13:13
2023,Mozambique,12:08:57
2023,Myanmar,12:10:49
2023,Namibia,12:08:51
2023,Nauru,12:09:09
2023,Nepal,12:11:58
2023,Netherlands,12:20:17
2023,New_Caledonia,12:08:51
2023,New_Zealand,12:10:11
2023,Nicaragua,12:10:00
2023,Niger,12:10:08
2023,Nigeria,12:09:45
2023,Niue,12:08:47
2023,Northern_Mariana_Islands,12:10:18
2023,Norway,12:27:32
2023,Oman,12:11:20
2023,Pakistan,12:13:09
2023,Palau,12:09:37
2023,Panama,12:09:44
2023,Papua_New_Guinea,12:08:51
2023,Paraguay,12:08:55
2023,Peru,12:08:48
2023,Philippines,12:10:14
2023,Poland,12:20:11
2023,Portugal,12:14:25
2023,Puerto_Rico,12:10:39
2023,Qatar,12:11:34
2023,Republic_of_Korea,12:14:05
2023,Republic_of_Moldova,12:17:22
2023,Romania,12:16:18
2023,Russian_Federation,12:22:51
2023,Rwanda,12:09:05
2023,Réunion,12:08:49
2023,Saint_Helena,12:08:47
2023,Saint_Kitts_and_Nevis,12:10:31
2023,Saint_Lucia,12:10:11
2023,Saint_Pierre_and_Miquelon,12:17:16
2023,Saint_Vincent_and_the_Grenadines,12:10:06
2023,Samoa,12:08:47
2023,San_Marino,12:16:06
2023,Sao_Tome_and_Principe,12:09:11
2023,Saudi_Arabia,12:11:29
2023,Senegal,12:10:15
2023,Serbia,12:16:27
2023,Seychelles,12:08:59
2023,Sierra_Leone,12:09:42
2023,Singapore,12:09:14
2023,Sint_Maarten_(Dutch_part),12:10:36
2023,Slovakia,12:17:54
2023,Slovenia,12:16:57
2023,Solomon_Islands,12:08:51
2023,Somalia,12:09:17
2023,South_Africa,12:09:24
2023,South_Sudan,12:09:27
2023,Spain,12:14:55
2023,Sri_Lanka,12:09:35
2023,State_of_Palestine,12:12:44
2023,Sudan,12:10:20
2023,Suriname,12:09:31
2023,Swaziland,12:08:58
2023,Sweden,12:26:43
2023,Switzerland,12:17:21
2023,Syrian_Arab_Republic,12:13:06
2023,TFYR_Macedonia,12:15:25
2023,Tajikistan,12:14:22
2023,Thailand,12:10:09
2023,Timor-Leste,12:08:52
2023,Togo,12:09:32
2023,Tokelau,12:08:51
2023,Tonga,12:08:49
2023,Trinidad_and_Tobago,12:09:53
2023,Tunisia,12:13:54
2023,Turkey,12:14:45
2023,Turkmenistan,12:14:12
2023,Turks_and_Caicos_Islands,12:11:02
2023,Tuvalu,12:08:52
2023,Uganda,12:09:11
2023,Ukraine,12:19:06
2023,United_Arab_Emirates,12:11:27
2023,United_Kingdom,12:19:44
2023,United_Republic_of_Tanzania,12:08:56
2023,United_States_Virgin_Islands,12:10:39
2023,United_States_of_America,12:14:28
2023,Uruguay,12:09:28
2023,Uzbekistan,12:15:11
2023,Vanuatu,12:08:47
2023,Venezuela_(Bolivarian_Republic_of),12:09:52
2023,Viet_Nam,12:10:58
