Country,Year,Month,Day_Length,Sunrise,Sunset,Day_Length_Seconds
Afghanistan,2022,1,09:56:21,2:28:36 AM,12:24:57 PM,35781
Afghanistan,2022,2,10:33:50,2:19:55 AM,12:53:45 PM,38030
Afghanistan,2022,3,11:28:57,1:51:11 AM,1:20:08 PM,41337
Afghanistan,2022,4,12:35:58,1:09:15 AM,1:45:13 PM,45358
Afghanistan,2022,5,13:36:52,12:32:00 AM,2:08:52 PM,49012
Afghanistan,2022,6,14:21:33,12:10:21 AM,2:31:54 PM,51693
Afghanistan,2022,7,14:28:39,12:12:50 AM,2:41:29 PM,52119
Afghanistan,2022,8,13:54:48,12:32:16 AM,2:27:04 PM,50088
Afghanistan,2022,9,12:56:37,12:55:04 AM,1:51:41 PM,46597
Afghanistan,2022,10,11:52:57,1:16:33 AM,1:09:30 PM,42777
Afghanistan,2022,11,10:49:31,1:42:08 AM,12:31:39 PM,38971
Afghanistan,2022,12,10:04:07,2:10:11 AM,12:14:18 PM,36247
Albania,2022,1,09:18:31,6:05:00 AM,3:23:31 PM,33511
Albania,2022,2,10:07:40,5:50:26 AM,3:58:06 PM,36460
Albania,2022,3,11:18:41,5:13:42 AM,4:32:23 PM,40721
Albania,2022,4,12:44:26,4:22:23 AM,5:06:49 PM,45866
Albania,2022,5,14:02:39,3:36:30 AM,5:39:09 PM,50559
Albania,2022,6,15:00:47,3:08:10 AM,6:08:57 PM,54047
Albania,2022,7,15:09:54,3:09:39 AM,6:19:33 PM,54594
Albania,2022,8,14:25:19,3:34:25 AM,5:59:44 PM,51919
Albania,2022,9,13:10:09,4:05:40 AM,5:15:49 PM,47409
Albania,2022,10,11:48:42,4:36:03 AM,4:24:45 PM,42522
Albania,2022,11,10:27:18,5:10:39 AM,3:37:57 PM,37638
Albania,2022,12,09:28:27,5:45:29 AM,3:13:56 PM,34107
Algeria,2022,1,09:44:54,6:58:56 AM,4:43:50 PM,35094
Algeria,2022,2,10:26:04,6:48:21 AM,5:14:25 PM,37564
Algeria,2022,3,11:26:05,6:17:06 AM,5:43:11 PM,41165
Algeria,2022,4,12:38:51,5:32:16 AM,6:11:07 PM,45531
Algeria,2022,5,13:45:00,4:52:26 AM,6:37:26 PM,49500
Algeria,2022,6,14:33:35,4:28:53 AM,7:02:28 PM,52415
Algeria,2022,7,14:41:06,4:31:10 AM,7:12:16 PM,52866
Algeria,2022,8,14:03:51,4:52:15 AM,6:56:06 PM,50631
Algeria,2022,9,13:00:27,5:17:37 AM,6:18:04 PM,46827
Algeria,2022,10,11:51:20,5:41:49 AM,5:33:09 PM,42680
Algeria,2022,11,10:42:25,6:10:12 AM,4:52:37 PM,38545
Algeria,2022,12,09:53:05,6:40:18 AM,4:33:23 PM,35585
American_Samoa,2022,1,12:59:25,4:56:53 PM,5:56:18 AM,46765
American_Samoa,2022,2,12:45:00,5:13:55 PM,5:58:55 AM,45900
American_Samoa,2022,3,12:24:08,5:22:58 PM,5:47:06 AM,44648
American_Samoa,2022,4,11:59:16,5:26:54 PM,5:26:10 AM,43156
American_Samoa,2022,5,11:37:28,5:31:07 PM,5:08:35 AM,41848
American_Samoa,2022,6,11:22:14,5:39:37 PM,5:01:51 AM,40934
American_Samoa,2022,7,11:20:08,5:46:43 PM,5:06:51 AM,40808
American_Samoa,2022,8,11:31:59,5:43:08 PM,5:15:07 AM,41519
American_Samoa,2022,9,11:52:45,5:26:17 PM,5:19:02 AM,42765
American_Samoa,2022,10,12:16:11,5:04:13 PM,5:20:24 AM,44171
American_Samoa,2022,11,12:39:59,4:46:23 PM,5:26:22 AM,45599
American_Samoa,2022,12,12:56:53,4:43:33 PM,5:40:26 AM,46613
Andorra,2022,1,09:11:05,7:21:56 AM,4:33:01 PM,33065
Andorra,2022,2,10:02:38,7:06:09 AM,5:08:47 PM,36158
Andorra,2022,3,11:16:48,6:27:50 AM,5:44:38 PM,40608
Andorra,2022,4,12:46:11,5:34:41 AM,6:20:52 PM,45971
Andorra,2022,5,14:07:49,4:47:06 AM,6:54:55 PM,50869
Andorra,2022,6,15:08:37,4:17:27 AM,7:26:04 PM,54517
Andorra,2022,7,15:18:06,4:18:45 AM,7:36:51 PM,55086
Andorra,2022,8,14:31:16,4:44:38 AM,7:15:54 PM,52276
Andorra,2022,9,13:12:43,5:17:34 AM,6:30:17 PM,47563
Andorra,2022,10,11:47:48,5:49:40 AM,5:37:28 PM,42468
Andorra,2022,11,10:22:53,6:26:03 AM,4:48:56 PM,37373
Andorra,2022,12,09:21:24,7:02:13 AM,4:23:37 PM,33684
Angola,2022,1,12:39:59,4:50:37 AM,5:30:36 PM,45599
Angola,2022,2,12:31:12,5:05:01 AM,5:36:13 PM,45072
Angola,2022,3,12:18:23,5:10:11 AM,5:28:34 PM,44303
Angola,2022,4,12:03:10,5:09:21 AM,5:12:31 PM,43390
Angola,2022,5,11:49:55,5:09:12 AM,4:59:07 PM,42595
Angola,2022,6,11:40:40,5:14:34 AM,4:55:14 PM,42040
Angola,2022,7,11:39:15,5:21:19 AM,5:00:34 PM,41955
Angola,2022,8,11:46:14,5:20:18 AM,5:06:32 PM,42374
Angola,2022,9,11:58:43,5:07:43 AM,5:06:26 PM,43123
Angola,2022,10,12:13:00,4:50:14 AM,5:03:14 PM,43980
Angola,2022,11,12:27:39,4:36:49 AM,5:04:28 PM,44859
Angola,2022,12,12:38:13,4:36:57 AM,5:15:10 PM,45493
Anguilla,2022,1,11:06:04,10:42:50 AM,9:48:54 PM,39964
Anguilla,2022,2,11:23:39,10:43:59 AM,10:07:38 PM,41019
Anguilla,2022,3,11:49:43,10:29:39 AM,10:19:22 PM,42583
Anguilla,2022,4,12:21:45,10:05:10 AM,10:26:55 PM,44505
Anguilla,2022,5,12:50:43,9:43:57 AM,10:34:40 PM,46243
Anguilla,2022,6,13:11:33,9:34:20 AM,10:45:53 PM,47493
Anguilla,2022,7,13:14:37,9:38:51 AM,10:53:28 PM,47677
Anguilla,2022,8,12:58:34,9:49:17 AM,10:47:51 PM,46714
Anguilla,2022,9,12:30:52,9:56:45 AM,10:27:37 PM,45052
Anguilla,2022,10,12:00:25,10:01:37 AM,10:02:02 PM,43225
Anguilla,2022,11,11:30:22,10:10:37 AM,9:40:59 PM,41422
Anguilla,2022,12,11:09:22,10:26:37 AM,9:35:59 PM,40162
Antigua_and_Barbuda,2022,1,11:10:08,10:35:57 AM,9:46:05 PM,40208
Antigua_and_Barbuda,2022,2,11:26:33,10:37:41 AM,10:04:14 PM,41193
Antigua_and_Barbuda,2022,3,11:50:55,10:24:12 AM,10:15:07 PM,42655
Antigua_and_Barbuda,2022,4,12:20:53,10:00:45 AM,10:21:38 PM,44453
Antigua_and_Barbuda,2022,5,12:47:59,9:40:28 AM,10:28:27 PM,46079
Antigua_and_Barbuda,2022,6,13:07:30,9:31:30 AM,10:39:00 PM,47250
Antigua_and_Barbuda,2022,7,13:10:22,9:36:07 AM,10:46:29 PM,47422
Antigua_and_Barbuda,2022,8,12:55:22,9:46:02 AM,10:41:24 PM,46522
Antigua_and_Barbuda,2022,9,12:29:26,9:52:37 AM,10:22:03 PM,44966
Antigua_and_Barbuda,2022,10,12:00:56,9:56:31 AM,9:57:27 PM,43256
Antigua_and_Barbuda,2022,11,11:32:50,10:04:32 AM,9:37:22 PM,41570
Antigua_and_Barbuda,2022,12,11:13:14,10:19:50 AM,9:33:04 PM,40394
Argentina,2022,1,14:28:14,8:43:07 AM,11:11:21 PM,52094
Argentina,2022,2,13:48:47,9:12:47 AM,11:01:34 PM,49727
Argentina,2022,3,12:52:07,9:39:49 AM,10:31:56 PM,46327
Argentina,2022,4,11:44:41,10:05:04 AM,9:49:45 PM,42281
Argentina,2022,5,10:44:45,10:28:18 AM,9:13:03 PM,38685
Argentina,2022,6,10:01:42,10:50:37 AM,8:52:19 PM,36102
Argentina,2022,7,09:55:19,10:59:52 AM,8:55:11 PM,35719
Argentina,2022,8,10:28:26,10:45:43 AM,9:14:09 PM,37706
Argentina,2022,9,11:25:38,10:10:44 AM,9:36:22 PM,41138
Argentina,2022,10,12:29:16,9:28:34 AM,9:57:50 PM,44956
Argentina,2022,11,13:33:53,8:50:14 AM,10:24:07 PM,48833
Argentina,2022,12,14:20:40,8:32:20 AM,10:53:00 PM,51640
Armenia,2022,1,09:25:27,4:22:43 AM,1:48:10 PM,33927
Armenia,2022,2,10:12:21,4:09:18 AM,2:21:39 PM,36741
Armenia,2022,3,11:20:25,3:34:04 AM,2:54:29 PM,40825
Armenia,2022,4,12:42:45,2:44:28 AM,3:27:13 PM,45765
Armenia,2022,5,13:57:48,2:00:09 AM,3:57:57 PM,50268
Armenia,2022,6,14:53:28,1:33:02 AM,4:26:30 PM,53608
Armenia,2022,7,15:02:18,1:34:39 AM,4:36:57 PM,54138
Armenia,2022,8,14:19:48,1:58:24 AM,4:18:12 PM,51588
Armenia,2022,9,13:07:48,2:28:05 AM,3:35:53 PM,47268
Armenia,2022,10,11:49:36,2:56:50 AM,2:46:26 PM,42576
Armenia,2022,11,10:31:28,3:29:47 AM,2:01:15 PM,37888
Armenia,2022,12,09:35:04,4:03:22 AM,1:38:26 PM,34504
Aruba,2022,1,11:26:40,11:00:25 AM,10:27:05 PM,41200
Aruba,2022,2,11:38:24,11:04:29 AM,10:42:53 PM,41904
Aruba,2022,3,11:55:52,10:54:27 AM,10:50:19 PM,42952
Aruba,2022,4,12:17:27,10:35:11 AM,10:52:38 PM,44247
Aruba,2022,5,12:37:04,10:18:39 AM,10:55:43 PM,45424
Aruba,2022,6,12:51:10,10:12:24 AM,11:03:34 PM,46270
Aruba,2022,7,12:53:15,10:17:24 AM,11:10:39 PM,46395
Aruba,2022,8,12:42:22,10:25:16 AM,11:07:38 PM,45742
Aruba,2022,9,12:23:36,10:28:15 AM,10:51:51 PM,44616
Aruba,2022,10,12:03:02,10:28:11 AM,10:31:13 PM,43382
Aruba,2022,11,11:42:51,10:32:15 AM,10:15:06 PM,42171
Aruba,2022,12,11:28:51,10:44:46 AM,10:13:37 PM,41331
Australia,2022,1,14:32:18,6:50:42 PM,9:23:00 AM,52338
Australia,2022,2,13:52:28,7:20:45 PM,9:13:13 AM,49948
Australia,2022,3,12:54:33,7:48:36 PM,8:43:09 AM,46473
Australia,2022,4,11:45:22,8:14:47 PM,8:00:09 AM,42322
Australia,2022,5,10:43:40,8:38:48 PM,7:22:28 AM,38620
Australia,2022,6,09:58:56,9:01:48 PM,7:00:44 AM,35936
Australia,2022,7,09:51:34,9:11:31 PM,7:03:05 AM,35494
Australia,2022,8,10:24:57,8:57:23 PM,7:22:20 AM,37497
Australia,2022,9,11:23:22,8:21:56 PM,7:45:18 AM,41002
Australia,2022,10,12:28:33,7:39:00 PM,8:07:33 AM,44913
Australia,2022,11,13:34:59,6:59:35 PM,8:34:34 AM,48899
Australia,2022,12,14:23:33,6:40:34 PM,9:04:07 AM,51813
Austria,2022,1,08:29:38,6:43:14 AM,3:12:52 PM,30578
Austria,2022,2,09:34:19,6:20:54 AM,3:55:13 PM,34459
Austria,2022,3,11:05:42,5:33:59 AM,4:39:41 PM,39942
Austria,2022,4,12:54:53,4:30:57 AM,5:25:50 PM,46493
Austria,2022,5,14:35:24,3:33:55 AM,6:09:19 PM,52524
Austria,2022,6,15:52:01,2:56:21 AM,6:48:22 PM,57121
Austria,2022,7,16:04:17,2:56:15 AM,7:00:32 PM,57857
Austria,2022,8,15:04:57,3:28:24 AM,6:33:21 PM,54297
Austria,2022,9,13:27:40,4:10:42 AM,5:38:22 PM,48460
Austria,2022,10,11:43:53,4:52:15 AM,4:36:08 PM,42233
Austria,2022,11,09:59:43,5:38:14 AM,3:37:57 PM,35983
Austria,2022,12,08:42:49,6:22:06 AM,3:04:55 PM,31369
Azerbaijan,2022,1,09:24:15,4:01:48 AM,1:26:03 PM,33855
Azerbaijan,2022,2,10:11:30,3:48:13 AM,1:59:43 PM,36690
Azerbaijan,2022,3,11:20:04,3:12:44 AM,2:32:48 PM,40804
Azerbaijan,2022,4,12:42:58,2:22:51 AM,3:05:49 PM,45778
Azerbaijan,2022,5,13:58:34,1:38:16 AM,3:36:50 PM,50314
Azerbaijan,2022,6,14:54:40,1:10:55 AM,4:05:35 PM,53680
Azerbaijan,2022,7,15:03:35,1:12:30 AM,4:16:05 PM,54215
Azerbaijan,2022,8,14:20:47,1:36:24 AM,3:57:11 PM,51647
Azerbaijan,2022,9,13:08:15,2:06:21 AM,3:14:36 PM,47295
Azerbaijan,2022,10,11:49:31,2:35:22 AM,2:24:53 PM,42571
Azerbaijan,2022,11,10:30:49,3:08:36 AM,1:39:25 PM,37849
Azerbaijan,2022,12,09:33:59,3:42:24 AM,1:16:23 PM,34439
Bahamas,2022,1,10:39:24,11:53:20 AM,10:32:44 PM,38364
Bahamas,2022,2,11:04:42,11:50:36 AM,10:55:18 PM,39882
Bahamas,2022,3,11:41:59,11:30:39 AM,11:12:38 PM,42119
Bahamas,2022,4,12:27:30,10:59:25 AM,11:26:55 PM,44850
Bahamas,2022,5,13:08:37,10:32:08 AM,11:40:45 PM,47317
Bahamas,2022,6,13:38:18,10:18:06 AM,11:56:24 PM,49098
Bahamas,2022,7,13:42:38,10:21:59 AM,12:04:37 AM,49358
Bahamas,2022,8,13:19:45,10:35:50 AM,11:55:35 PM,47985
Bahamas,2022,9,12:40:20,10:49:08 AM,11:29:28 PM,45620
Bahamas,2022,10,11:57:05,11:00:25 AM,10:57:30 PM,43025
Bahamas,2022,11,11:14:15,11:15:49 AM,10:30:04 PM,40455
Bahamas,2022,12,10:44:07,11:36:24 AM,10:20:31 PM,38647
Bahrain,2022,1,10:34:27,3:23:56 AM,1:58:23 PM,38067
Bahrain,2022,2,11:00:52,3:20:46 AM,2:21:38 PM,39652
Bahrain,2022,3,11:40:03,2:59:59 AM,2:40:02 PM,42003
Bahrain,2022,4,12:27:59,2:27:35 AM,2:55:34 PM,44879
Bahrain,2022,5,13:11:24,1:59:05 AM,3:10:29 PM,47484
Bahrain,2022,6,13:42:55,1:44:02 AM,3:26:57 PM,49375
Bahrain,2022,7,13:47:51,1:47:36 AM,3:35:27 PM,49671
Bahrain,2022,8,13:23:59,2:02:02 AM,3:26:01 PM,48239
Bahrain,2022,9,12:42:35,2:16:25 AM,2:59:00 PM,45755
Bahrain,2022,10,11:57:04,2:28:50 AM,2:25:54 PM,43024
Bahrain,2022,11,11:11:50,2:45:20 AM,1:57:10 PM,40310
Bahrain,2022,12,10:39:51,3:06:42 AM,1:46:33 PM,38391
Bangladesh,2022,1,10:44:43,12:39:27 AM,11:24:10 AM,38683
Bangladesh,2022,2,11:08:05,12:37:51 AM,11:45:56 AM,40085
Bangladesh,2022,3,11:42:56,12:19:16 AM,12:02:12 PM,42176
Bangladesh,2022,4,12:25:40,11:49:28 PM,12:15:08 PM,44740
Bangladesh,2022,5,13:04:24,11:23:18 PM,12:27:42 PM,47064
Bangladesh,2022,6,13:32:31,11:09:55 PM,12:42:26 PM,48751
Bangladesh,2022,7,13:37:01,11:13:42 PM,12:50:43 PM,49021
Bangladesh,2022,8,13:15:50,11:26:49 PM,12:42:39 PM,47750
Bangladesh,2022,9,12:39:00,11:38:57 PM,12:17:57 PM,45540
Bangladesh,2022,10,11:58:23,11:48:55 PM,11:47:18 AM,43103
Bangladesh,2022,11,11:18:05,12:02:55 AM,11:21:00 AM,40685
Bangladesh,2022,12,10:49:36,12:22:29 AM,11:12:05 AM,38976
Barbados,2022,1,11:24:38,10:19:47 AM,9:44:25 PM,41078
Barbados,2022,2,11:36:55,10:23:35 AM,10:00:30 PM,41815
Barbados,2022,3,11:55:15,10:13:07 AM,10:08:22 PM,42915
Barbados,2022,4,12:17:51,9:53:21 AM,10:11:12 PM,44271
Barbados,2022,5,12:38:23,9:36:21 AM,10:14:44 PM,45503
Barbados,2022,6,12:53:10,9:29:45 AM,10:22:55 PM,46390
Barbados,2022,7,12:55:22,9:34:42 AM,10:30:04 PM,46522
Barbados,2022,8,12:43:59,9:42:49 AM,10:26:48 PM,45839
Barbados,2022,9,12:24:20,9:46:15 AM,10:10:35 PM,44660
Barbados,2022,10,12:02:48,9:46:40 AM,9:49:28 PM,43368
Barbados,2022,11,11:41:38,9:51:13 AM,9:32:51 PM,42098
Barbados,2022,12,11:26:56,10:04:04 AM,9:31:00 PM,41216
Belarus,2022,1,07:35:13,6:25:39 AM,2:00:52 PM,27313
Belarus,2022,2,08:58:15,5:54:09 AM,2:52:24 PM,32295
Belarus,2022,3,10:51:57,4:56:05 AM,3:48:02 PM,39117
Belarus,2022,4,13:05:58,3:40:38 AM,4:46:36 PM,47158
Belarus,2022,5,15:10:57,2:31:22 AM,5:42:19 PM,54657
Belarus,2022,6,16:50:00,1:42:34 AM,6:32:34 PM,60600
Belarus,2022,7,17:06:29,1:40:22 AM,6:46:51 PM,61589
Belarus,2022,8,15:48:47,2:21:42 AM,6:10:29 PM,56927
Belarus,2022,9,13:46:39,3:16:26 AM,5:03:05 PM,49599
Belarus,2022,10,11:39:07,4:09:51 AM,3:48:58 PM,41947
Belarus,2022,11,09:30:25,5:08:06 AM,2:38:31 PM,34225
Belarus,2022,12,07:52:33,6:02:26 AM,1:54:59 PM,28353
Belgium,2022,1,08:06:32,7:42:53 AM,3:49:25 PM,29192
Belgium,2022,2,09:18:58,7:16:40 AM,4:35:38 PM,33538
Belgium,2022,3,10:59:55,6:24:57 AM,5:24:52 PM,39595
Belgium,2022,4,12:59:51,5:16:32 AM,6:16:23 PM,46791
Belgium,2022,5,14:50:49,4:14:17 AM,7:05:06 PM,53449
Belgium,2022,6,16:16:38,3:32:08 AM,7:48:46 PM,58598
Belgium,2022,7,16:30:28,3:31:15 AM,8:01:43 PM,59428
Belgium,2022,8,15:23:32,4:07:11 AM,7:30:43 PM,55412
Belgium,2022,9,13:35:41,4:54:46 AM,6:30:27 PM,48941
Belgium,2022,10,11:41:37,5:41:27 AM,5:23:04 PM,42097
Belgium,2022,11,09:46:53,6:32:44 AM,4:19:37 PM,35213
Belgium,2022,12,08:21:16,7:20:58 AM,3:42:14 PM,30076
Belize,2022,1,11:09:39,12:23:55 PM,11:33:34 PM,40179
Belize,2022,2,11:26:16,12:25:31 PM,11:51:47 PM,41176
Belize,2022,3,11:50:51,12:11:54 PM,12:02:45 AM,42651
Belize,2022,4,12:21:04,11:48:19 AM,12:09:23 AM,44464
Belize,2022,5,12:48:22,11:27:57 AM,12:16:19 AM,46102
Belize,2022,6,13:08:02,11:18:56 AM,12:26:58 AM,47282
Belize,2022,7,13:10:52,11:23:34 AM,12:34:26 AM,47452
Belize,2022,8,12:55:42,11:33:33 AM,12:29:15 AM,46542
Belize,2022,9,12:29:31,11:40:14 AM,12:09:45 AM,44971
Belize,2022,10,12:00:48,11:44:14 AM,11:45:02 PM,43248
Belize,2022,11,11:32:28,11:52:24 AM,11:24:52 PM,41548
Belize,2022,12,11:12:44,12:07:48 PM,11:20:32 PM,40364
Benin,2022,1,11:47:58,5:59:54 AM,5:47:52 PM,42478
Benin,2022,2,11:53:38,6:07:04 AM,6:00:42 PM,42818
Benin,2022,3,12:02:14,6:01:31 AM,6:03:45 PM,43334
Benin,2022,4,12:13:02,5:47:40 AM,6:00:42 PM,43982
Benin,2022,5,12:23:01,5:35:55 AM,5:58:56 PM,44581
Benin,2022,6,12:30:18,5:33:01 AM,6:03:19 PM,45018
Benin,2022,7,12:31:24,5:38:31 AM,6:09:55 PM,45084
Benin,2022,8,12:25:51,5:43:45 AM,6:09:36 PM,44751
Benin,2022,9,12:16:16,5:42:12 AM,5:58:28 PM,44176
Benin,2022,10,12:05:56,5:37:01 AM,5:42:57 PM,43556
Benin,2022,11,11:55:56,5:35:56 AM,5:31:52 PM,42956
Benin,2022,12,11:49:05,5:44:47 AM,5:33:52 PM,42545
Bermuda,2022,1,10:07:30,11:19:00 AM,9:26:30 PM,36450
Bermuda,2022,2,10:42:09,11:11:37 AM,9:53:46 PM,38529
Bermuda,2022,3,11:32:48,10:44:59 AM,10:17:47 PM,41568
Bermuda,2022,4,12:34:22,10:05:44 AM,10:40:06 PM,45262
Bermuda,2022,5,13:30:07,9:31:08 AM,11:01:15 PM,48607
Bermuda,2022,6,14:10:40,9:11:39 AM,11:22:19 PM,51040
Bermuda,2022,7,14:16:40,9:14:42 AM,11:31:22 PM,51400
Bermuda,2022,8,13:45:22,9:32:46 AM,11:18:08 PM,49522
Bermuda,2022,9,12:51:53,9:53:07 AM,10:45:00 PM,46313
Bermuda,2022,10,11:53:25,10:12:00 AM,10:05:25 PM,42805
Bermuda,2022,11,10:55:16,10:35:03 AM,9:30:19 PM,39316
Bermuda,2022,12,10:14:04,11:01:09 AM,9:15:13 PM,36844
Bhutan,2022,1,10:29:06,12:50:19 AM,11:19:25 AM,37746
Bhutan,2022,2,10:56:56,12:46:29 AM,11:43:25 AM,39416
Bhutan,2022,3,11:38:19,12:24:38 AM,12:02:57 PM,41899
Bhutan,2022,4,12:28:56,11:50:54 PM,12:19:50 PM,44936
Bhutan,2022,5,13:14:49,11:21:09 PM,12:35:58 PM,47689
Bhutan,2022,6,13:48:12,11:05:08 PM,12:53:20 PM,49692
Bhutan,2022,7,13:53:32,11:08:30 PM,1:02:02 PM,50012
Bhutan,2022,8,13:28:22,11:23:37 PM,12:51:59 PM,48502
Bhutan,2022,9,12:44:41,11:39:10 PM,12:23:51 PM,45881
Bhutan,2022,10,11:56:38,11:52:51 PM,11:49:29 AM,42998
Bhutan,2022,11,11:08:50,12:10:36 AM,11:19:26 AM,40130
Bhutan,2022,12,10:34:56,12:32:53 AM,11:07:49 AM,38096
Bolivia_(Plurinational_State_of),2022,1,13:07:47,10:02:21 AM,11:10:08 PM,47267
Bolivia_(Plurinational_State_of),2022,2,12:51:09,10:20:36 AM,11:11:45 PM,46269
Bolivia_(Plurinational_State_of),2022,3,12:26:57,10:31:24 AM,10:58:21 PM,44817
Bolivia_(Plurinational_State_of),2022,4,11:58:00,10:37:24 AM,10:35:24 PM,43080
Bolivia_(Plurinational_State_of),2022,5,11:32:33,10:43:24 AM,10:15:57 PM,41553
Bolivia_(Plurinational_State_of),2022,6,11:14:37,10:53:10 AM,10:07:47 PM,40477
Bolivia_(Plurinational_State_of),2022,7,11:12:01,11:00:31 AM,10:12:32 PM,40321
Bolivia_(Plurinational_State_of),2022,8,11:25:44,10:56:04 AM,10:21:48 PM,41144
Bolivia_(Plurinational_State_of),2022,9,11:49:55,10:37:35 AM,10:27:30 PM,42595
Bolivia_(Plurinational_State_of),2022,10,12:17:11,10:13:36 AM,10:30:47 PM,44231
Bolivia_(Plurinational_State_of),2022,11,12:44:52,9:53:44 AM,10:38:36 PM,45892
Bolivia_(Plurinational_State_of),2022,12,13:04:37,9:49:22 AM,10:53:59 PM,47077
Bosnia_and_Herzegovina,2022,1,09:02:09,6:19:02 AM,3:21:11 PM,32529
Bosnia_and_Herzegovina,2022,2,09:56:24,6:01:55 AM,3:58:19 PM,35784
Bosnia_and_Herzegovina,2022,3,11:14:16,5:21:46 AM,4:36:02 PM,40456
Bosnia_and_Herzegovina,2022,4,12:47:58,4:26:28 AM,5:14:26 PM,46078
Bosnia_and_Herzegovina,2022,5,14:13:40,3:36:51 AM,5:50:31 PM,51220
Bosnia_and_Herzegovina,2022,6,15:17:50,3:05:30 AM,6:23:20 PM,55070
Bosnia_and_Herzegovina,2022,7,15:27:58,3:06:28 AM,6:34:26 PM,55678
Bosnia_and_Herzegovina,2022,8,14:38:36,3:33:38 AM,6:12:14 PM,52716
Bosnia_and_Herzegovina,2022,9,13:16:03,4:08:34 AM,5:24:37 PM,47763
Bosnia_and_Herzegovina,2022,10,11:47:03,4:42:43 AM,4:29:46 PM,42423
Bosnia_and_Herzegovina,2022,11,10:17:58,5:21:10 AM,3:39:08 PM,37078
Bosnia_and_Herzegovina,2022,12,09:13:09,5:58:59 AM,3:12:08 PM,33189
Botswana,2022,1,13:40:35,3:29:36 AM,5:10:11 PM,49235
Botswana,2022,2,13:14:59,3:52:25 AM,5:07:24 PM,47699
Botswana,2022,3,12:37:34,4:09:54 AM,4:47:28 PM,45454
Botswana,2022,4,11:52:43,4:23:53 AM,4:16:36 PM,42763
Botswana,2022,5,11:13:01,4:36:58 AM,3:49:59 PM,40381
Botswana,2022,6,10:44:44,4:51:50 AM,3:36:34 PM,38684
Botswana,2022,7,10:40:23,5:00:03 AM,3:40:26 PM,38423
Botswana,2022,8,11:01:48,4:51:49 AM,3:53:37 PM,39708
Botswana,2022,9,11:39:25,4:26:41 AM,4:06:06 PM,41965
Botswana,2022,10,12:21:42,3:55:11 AM,4:16:53 PM,44502
Botswana,2022,11,13:04:35,3:27:39 AM,4:32:14 PM,47075
Botswana,2022,12,13:35:25,3:17:38 AM,4:53:03 PM,48925
Brazil,2022,1,13:05:05,8:42:48 AM,9:47:53 PM,47105
Brazil,2022,2,12:49:15,9:00:40 AM,9:49:55 PM,46155
Brazil,2022,3,12:26:09,9:10:56 AM,9:37:05 PM,44769
Brazil,2022,4,11:58:32,9:16:16 AM,9:14:48 PM,43112
Brazil,2022,5,11:34:16,9:21:40 AM,8:55:56 PM,41656
Brazil,2022,6,11:17:10,9:31:00 AM,8:48:10 PM,40630
Brazil,2022,7,11:14:38,9:38:19 AM,8:52:57 PM,40478
Brazil,2022,8,11:27:41,9:34:13 AM,9:01:54 PM,41261
Brazil,2022,9,11:50:43,9:16:19 AM,9:07:02 PM,42643
Brazil,2022,10,12:16:44,8:52:58 AM,9:09:42 PM,44204
Brazil,2022,11,12:43:09,8:33:43 AM,9:16:52 PM,45789
Brazil,2022,12,13:02:03,8:29:45 AM,9:31:48 PM,46923
British_Virgin_Islands,2022,1,11:05:19,10:49:27 AM,9:54:46 PM,39919
British_Virgin_Islands,2022,2,11:23:07,10:50:29 AM,10:13:36 PM,40987
British_Virgin_Islands,2022,3,11:49:31,10:35:59 AM,10:25:30 PM,42571
British_Virgin_Islands,2022,4,12:21:54,10:11:19 AM,10:33:13 PM,44514
British_Virgin_Islands,2022,5,12:51:13,9:49:56 AM,10:41:09 PM,46273
British_Virgin_Islands,2022,6,13:12:17,9:40:12 AM,10:52:29 PM,47537
British_Virgin_Islands,2022,7,13:15:24,9:44:41 AM,11:00:05 PM,47724
British_Virgin_Islands,2022,8,12:59:10,9:55:13 AM,10:54:23 PM,46750
British_Virgin_Islands,2022,9,12:31:07,10:02:51 AM,10:33:58 PM,45067
