Year,Country,Average_Day_Length
2020,Afghanistan,12:13:09
2020,Albania,12:14:58
2020,Algeria,12:13:41
2020,American_Samoa,12:08:51
2020,Andorra,12:15:21
2020,Angola,12:08:54
2020,Anguilla,12:10:33
2020,Antigua_and_Barbuda,12:10:25
2020,Argentina,12:09:38
2020,Armenia,12:14:37
2020,Aruba,12:09:59
2020,Australia,12:09:42
2020,Austria,12:17:37
2020,Azerbaijan,12:14:40
2020,Bahamas,12:11:25
2020,Bahrain,12:11:36
2020,Bangladesh,12:11:14
2020,Barbados,12:10:02
2020,Belarus,12:20:57
2020,Belgium,12:18:59
2020,Belize,12:10:26
2020,Benin,12:09:31
2020,Bermuda,12:12:41
2020,Bhutan,12:11:48
2020,Bolivia,12:08:51
2020,Bosnia_and_Herzegovina,12:15:49
2020,Botswana,12:09:02
2020,Brazil,12:08:51
2020,British_Virgin_Islands,12:10:34
2020,Brunei_Darussalam,12:09:26
2020,Bulgaria,12:15:25
2020,Burkina_Faso,12:09:58
2020,Burundi,12:09:03
2020,Cabo_Verde,12:10:12
2020,Cambodia,12:09:54
2020,Cameroon,12:09:22
2020,Canada,12:16:25
2020,Caribbean_Netherlands,12:09:57
2020,Cayman_Islands,12:10:40
2020,Central_African_Republic,12:09:24
2020,Chad,12:09:57
2020,Channel_Islands,12:18:10
2020,Chile,12:09:32
2020,China,12:14:32
2020,"China,_Hong_Kong_SAR",12:11:02
2020,"China,_Macao_SAR",12:11:01
2020,"China,_Taiwan_Province_of_China",12:11:25
2020,Colombia,12:09:25
2020,Comoros,12:08:52
2020,Congo,12:09:01
2020,Cook_Islands,12:08:55
2020,Costa_Rica,12:09:46
2020,Croatia,12:16:34
2020,Cuba,12:11:09
2020,Curaçao,12:09:57
2020,Cyprus,12:13:18
2020,Czechia,12:18:34
2020,Côte_d'Ivoire,12:09:27
2020,Dem._People's_Republic_of_Korea,12:14:17
2020,Democratic_Republic_of_the_Congo,12:09:01
2020,Denmark,12:22:21
2020,Djibouti,12:09:54
2020,Dominica,12:10:14
2020,Dominican_Republic,12:10:34
2020,Ecuador,12:09:10
2020,Egypt,12:12:15
2020,El_Salvador,12:10:05
2020,Equatorial_Guinea,12:09:22
2020,Eritrea,12:10:15
2020,Estonia,12:26:20
2020,Ethiopia,12:09:42
2020,Faeroe_Islands,12:30:33
2020,Falkland_Islands_(Malvinas),12:12:47
2020,Fiji,12:08:52
2020,Finland,12:27:22
2020,France,12:17:56
2020,French_Guiana,12:09:26
2020,French_Polynesia,12:08:52
2020,Gabon,12:09:12
2020,Gambia,12:10:04
2020,Georgia,12:15:05
2020,Germany,12:20:01
2020,Ghana,12:09:28
2020,Gibraltar,12:13:32
2020,Greece,12:13:59
2020,Greenland,12:36:33
2020,Grenada,12:09:56
2020,Guadeloupe,12:10:18
2020,Guam,12:10:04
2020,Guatemala,12:10:10
2020,Guinea,12:09:44
2020,Guinea-Bissau,12:09:56
2020,Guyana,12:09:33
2020,Haiti,12:10:35
2020,Holy_See,12:15:09
2020,Honduras,12:10:07
2020,Hungary,12:17:18
2020,Iceland,12:36:21
2020,India,12:12:00
2020,Indonesia,12:08:58
2020,Iran_(Islamic_Republic_of),12:13:25
2020,Iraq,12:12:54
2020,Ireland,12:20:33
2020,Isle_of_Man,12:21:08
2020,Israel,12:12:35
2020,Italy,12:15:09
2020,Jamaica,12:10:31
2020,Japan,12:13:25
2020,Jordan,12:12:37
2020,Kazakhstan,12:19:11
2020,Kenya,12:09:07
2020,Kiribati,12:09:14
2020,Kuwait,12:12:07
2020,Kyrgyzstan,12:15:28
2020,Lao_People's_Democratic_Republic,12:10:31
2020,Latvia,12:23:31
2020,Lebanon,12:13:01
2020,Lesotho,12:09:15
2020,Liberia,12:09:31
2020,Libya,12:12:48
2020,Liechtenstein,12:17:08
2020,Lithuania,12:21:33
2020,Luxembourg,12:18:19
2020,Madagascar,12:08:53
2020,Malawi,12:08:51
2020,Malaysia,12:09:20
2020,Maldives,12:09:23
2020,Mali,12:09:59
2020,Malta,12:13:28
2020,Marshall_Islands,12:09:34
2020,Martinique,12:10:10
2020,Mauritania,12:10:32
2020,Mauritius,12:08:54
2020,Mayotte,12:08:51
2020,Mexico,12:10:41
2020,Micronesia_(Fed._States_of),12:09:33
2020,Monaco,12:15:46
2020,Mongolia,12:17:29
2020,Montenegro,12:15:20
2020,Montserrat,12:10:23
2020,Morocco,12:13:03
2020,Mozambique,12:09:05
2020,Myanmar,12:10:43
2020,Namibia,12:08:58
2020,Nauru,12:09:09
2020,Nepal,12:11:50
2020,Netherlands,12:19:55
2020,New_Caledonia,12:08:57
2020,New_Zealand,12:10:25
2020,Nicaragua,12:09:57
2020,Niger,12:10:04
2020,Nigeria,12:09:42
2020,Niue,12:08:53
2020,Northern_Mariana_Islands,12:10:14
2020,Norway,12:26:59
2020,Oman,12:11:13
2020,Pakistan,12:12:58
2020,Palau,12:09:35
2020,Panama,12:09:42
2020,Papua_New_Guinea,12:08:53
2020,Paraguay,12:09:03
2020,Peru,12:08:52
2020,Philippines,12:10:10
2020,Poland,12:19:49
2020,Portugal,12:14:12
2020,Puerto_Rico,12:10:34
2020,Qatar,12:11:27
2020,Republic_of_Korea,12:13:53
2020,Republic_of_Moldova,12:17:04
2020,Romania,12:16:02
2020,Russian_Federation,12:22:25
2020,Rwanda,12:09:06
2020,Réunion,12:08:55
2020,Saint_Helena,12:08:51
2020,Saint_Kitts_and_Nevis,12:10:27
2020,Saint_Lucia,12:10:07
2020,Saint_Pierre_and_Miquelon,12:16:58
2020,Saint_Vincent_and_the_Grenadines,12:10:02
2020,Samoa,12:08:51
2020,San_Marino,12:15:51
2020,Sao_Tome_and_Principe,12:09:12
2020,Saudi_Arabia,12:11:22
2020,Senegal,12:10:11
2020,Serbia,12:16:11
2020,Seychelles,12:09:00
2020,Sierra_Leone,12:09:40
2020,Singapore,12:09:14
2020,Sint_Maarten_(Dutch_part),12:10:31
2020,Slovakia,12:17:36
2020,Slovenia,12:16:40
2020,Solomon_Islands,12:08:53
2020,Somalia,12:09:16
2020,South_Africa,12:09:35
2020,South_Sudan,12:09:26
2020,Spain,12:14:41
2020,Sri_Lanka,12:09:33
2020,State_of_Palestine,12:12:35
2020,Sudan,12:10:16
2020,Suriname,12:09:29
2020,Swaziland,12:09:06
2020,Sweden,12:26:12
2020,Switzerland,12:17:03
2020,Syrian_Arab_Republic,12:12:56
2020,TFYR_Macedonia,12:15:11
2020,Tajikistan,12:14:09
2020,Thailand,12:10:05
2020,Timor-Leste,12:08:55
2020,Togo,12:09:30
2020,Tokelau,12:08:54
2020,Tonga,12:08:55
2020,Trinidad_and_Tobago,12:09:50
2020,Tunisia,12:13:42
2020,Turkey,12:14:32
2020,Turkmenistan,12:13:59
2020,Turks_and_Caicos_Islands,12:10:56
2020,Tuvalu,12:08:55
2020,Uganda,12:09:11
2020,Ukraine,12:18:46
2020,United_Arab_Emirates,12:11:20
2020,United_Kingdom,12:19:23
2020,United_Republic_of_Tanzania,12:08:58
2020,United_States_Virgin_Islands,12:10:33
2020,United_States_of_America,12:14:15
2020,Uruguay,12:09:40
2020,Uzbekistan,12:14:57
2020,Vanuatu,12:08:52
2020,Venezuela,12:09:49
2020,VietNam,12:10:52
2020,Wallis_and_Futuna_Islands,12:08:51
2020,Western_Sahara,12:11:45
2020,Yemen,12:10:15
2020,Zambia,12:08:51
2020,Zimbabwe,12:08:52
